"bossid"	"jobid"	"lat"	"lng"
10954009	5921073	39.9182	116.463
10954009	6006457	39.9182	116.463
10954918	5921432	39.8895	116.46
10960935	5924040	39.8936	116.481
10961267	5924223	39.8936	116.481
10965084	5926302	39.8957	116.436
10965447	5946768	39.9078	116.473
10994303	6091377	39.92	116.442
10995663	5941015	39.9178	116.452
10997438	5942368	39.9093	116.473
11016242	6003048	39.9005	116.492
11025094	5962246	39.9069	116.43
11033918	5959552	39.9189	116.451
11040646	5969151	39.8921	116.478
11044222	5965850	39.9064	116.46
1104522	370999	39.9153	116.437
1104522	3564814	39.9153	116.437
11047889	5967035	39.9109	116.472
11053633	5969764	39.9307	116.467
11055837	5971038	39.9325	116.459
11065532	5977827	39.8914	116.465
11066942	5976017	39.907	116.479
11067817	5976717	39.8941	116.46
11069688	5977495	39.894	116.48
11071307	5989242	39.894	116.449
11079620	5982344	39.8914	116.465
11079620	6062313	39.8914	116.465
11079964	5982545	39.9046	116.455
11084494	5985503	39.8818	116.46
11087965	5987228	39.8938	116.481
11088842	5987548	39.894	116.478
11090154	5988993	39.9159	116.495
11093065	6124619	39.8941	116.481
11095221	5992244	39.9172	116.459
11099137	6099589	39.8941	116.477
11099938	5994834	39.9174	116.44
11108219	6000005	39.8956	116.431
1111705	209653	39.9055	116.428
1111705	310467	39.9055	116.428
11118491	6028642	39.9323	116.446
11118491	6050146	39.9323	116.446
11125875	6010644	39.8979	116.46
11126189	6022340	39.9091	116.481
11134653	6016449	39.9318	116.455
11145307	6071701	39.8941	116.481
11163959	6031776	39.9174	116.459
11166116	6033004	39.8913	116.469
11168512	6034650	39.8941	116.477
11168693	6034769	39.8957	116.436
11172502	6037845	39.9073	116.476
11173904	6038447	39.9068	116.442
11181976	6043675	39.9133	116.473
11182082	6043737	39.9091	116.474
11190293	6048923	39.9234	116.449
11194355	6052502	39.9246	116.467
11202590	6058424	39.9189	116.453
11209712	6063834	39.9093	116.474
11212824	6069094	39.904	116.427
11214361	6067949	39.9297	116.479
11215651	6069045	39.8988	116.433
11217542	6105624	39.9148	116.437
11230589	6079634	39.9209	116.434
11231570	6080335	39.9054	116.454
11241666	6085931	39.9157	116.492
11253947	6093869	39.8914	116.465
11253947	6144286	39.8914	116.465
11255785	6095169	39.9042	116.435
11263794	6099883	39.9318	116.455
11265620	6101365	39.9077	116.479
11270079	6104733	39.9326	116.455
11270312	6104923	39.894	116.478
11270312	6140991	39.894	116.478
11270932	6107356	39.9206	116.433
11273954	6107065	39.894	116.48
11282406	6113889	39.9176	116.437
11282434	6113854	39.9053	116.459
11300494	6169924	39.9247	116.438
1131690	3961412	39.93	116.445
11326110	6143765	39.9323	116.454
11330972	6151677	39.9186	116.46
11331038	6148124	39.9245	116.435
11336151	6150786	39.9073	116.477
11344459	6166201	39.9248	116.442
11347714	6158981	39.9075	116.459
